Title ,Year ,Director ,Country ,ASL 
"I Love You, I Love You Not ",1997,"Hopkins, Billy ",,5.95
"I Love You, Man ",2008,"Hamburg, John ",USA ,3.63
I Married a Witch ,1947,"Clair, René ",USA ,10.07
I Moerkrets Bojor ,1917,"Klercker, Georg af ",SWE ,13
I Never Sang for my Father ,1969,"Cates, Gilbert ",USA ,8.4
I Now Pronounce You Chuck and Larry ,2007,"Dugan, Dennis ",USA ,3.17
I Remember Mama ,1948,"Stevens, George ",USA ,9.7
I Saw Mommy Kissing Santa Claus ,2001,"Shepherd, John ",USA ,3.91
I Shot Andy Warhol ,1995,"Harron, Mary ",,5.8
I Spy ,2002,"Thomas, Betty ",USA ,2.7
I Still Know What You Did Last Summer ,1998,"Cannon, Danny ",USA ,3.3
I Thank You ,1941,"Varnel, Marcel ",BRI ,8.6
I Think I Love My Wife ,2007,"Rock, Chris ",,6.02
I Walked With a Zombie ,1943,"Tourneur, Jacques ",USA ,7.9
I Wanna Hold Your Hand ,1978,"Zemeckis, Robert ",USA ,6.2
I Want You ,1951,"Robson, Mark ",USA ,15.1
I Wanted Wings ,1941,"Leisen, Mitchell ",USA ,10.1
I Was a Communist for the FBI ,1951,"Douglas, Gordon ",USA ,9
I was a Fireman ,1943,"Jennings, Humphrey ",BRI ,5.9
I Was a Male War Bride ,1949,"Hawks, Howard ",USA ,15.8
I Was Happy Here ,1966,"Davis, Desmond ",BRI ,6
I Was Monty's Double ,1958,"Guillermin, John ",BRI ,6.42
I Went Down ,1997,"Breathnach, Paddy ",IRE ,3.92
I Witness ,2003,"Herrington, Rowdy ",USA ,3.4
"I zhizn, i slyozi, i lyubov ",1984,"Gubenko, Nikolai ",RUS ,35
"I, Robot ",2004,"Proyas, Alex ",,3.07
"I, the Worst of All ",1990,"Bemberg, Maria Luisa ",ARG ,14.3
"Ice Capades Review, The ",1942,"Vorhaus, Bernard ",USA ,8.3
Ice Cold in Alex ,1958,"Lee-Thompson, J. ",BRI ,6.2
"Ice Harvest, The ",2005,"Ramis, Harold ",USA ,4.37
Ice Princess ,2005,"Fywell, Tim ",USA ,3.31
Ice Station Zebra ,1968,"Sturges, John ",USA ,6.52
"Ice Storm, The ",1997,"Lee, Ang ",USA ,6.8
"Iced Bullet, The ",1917,"Barker, Reginald ",USA ,6.4
Iceman ,1984,"Schepisi, Fred ",USA ,6.7
Ich bei Tag und Du bei Nacht ,1932,"Berger, Ludwig ",GER ,13.5
"Ideal Husband, An ",1947,"Korda, Alex ",BRI ,10.2
"Ideal Husband, An ",1999,"Parker, Oliver ",,5.3
Identificazione di una donna ,1982,"Antonioni, Michelangelo ",ITA ,13
Identity ,2003,"Mangold, James ",USA ,4.54
"Ides of March, The ",2011,"Clooney, George ",USA ,6.47
Idi i smotri ,1985,"Klimov, Elem ",RUS ,14
Idiocracy ,2006,"Judge, Mike ",USA ,2.48
Idioterna ,1998,"Trier, Lars von ",DEN ,6.2
Idiot's Delight ,1939,"Brown, Clarence ",USA ,12
Idlewild ,2006,"Barber, Bryan ",USA ,3.19
"Idolmaker, The ",1980,"Hackford, Taylor ",USA ,10.8
If ,1968,"Anderson, Lindsay ",BRI ,9.5
If Only ,2004,"Junger, Gil ",USA ,4.74
If You Could Only Cook ,1935,"Seiter, William A. ",USA ,12.35
If You Knew Susie ,1948,"Douglas, Gordon M. ",USA ,10
Igby Goes Down ,2002,"Steers, Burr ",USA ,4.27
Ignition ,2001,"Simoneau, Yves ",,3.6
Ikiru ,1952,Kurosawa Akira ,JAP ,16.1
Il y a longtemps que je t'aime ,2008,"Claudel, Philippe ",,10.23
I'll Be Home For Christmas ,1998,"Sanford, Arlene ",USA ,4.2
I'll Be Seeing You ,1944,"Dieterle, William ",USA ,10.3
I'll Cry Tomorrow ,1955,"Mann, Daniel ",USA ,17.2
I'll Do Anything ,1994,"Brooks, James L. ",USA ,6.3
Ill Met By Moonlight ,1956,"Powell, M. & Pressburger, ",BRI ,8.51
I'll See You in My Dreams ,1951,"Curtiz, Michael ",USA ,10.3
I'll Sleep When I'm Dead ,2003,"Hodges, Mike ",BRI ,13.74
I'll Take Romance ,1937,"Griffith, Edward H. ",USA ,12.5
Illegal in Blue ,1995,"Segall, Stu ",USA ,6.8
"Illusionist, The ",2005,"Burger, Neil ",,5.29
"Illustrated Man, The ",1969,"Smight, Jack ",USA ,6.8
Ils ,2006,"Palud, X. & Moreau, D. ",FRA ,4.12
"I'm a Cyborg, But That's OK ",2006,Park Chan-Wook ,KOR ,8.09
I'm Gonna Git You Sucka ,1988,"Wayans, Keenen Ivory ",USA ,5.7
I'm not Rappaport ,1996,"Gardner, Herb ",USA ,9.1
Imaginary Crimes ,1994,"Drazen, Anthony ",USA ,9.7
Imaginary Heroes ,2004,"Harris, Dan ",USA ,5.77
Imagine Me and You ,2005,"Parker, Ol ",,4.94
Imagine That ,2009,"Kirkpatrick, Karey ",USA ,3.34
Imagining Argentina ,2003,"Hampton, Christopher ",,4.73
Imitation of Life ,1934,"Stahl, John ",USA ,13
Imitation of Life ,1958,"Sirk, Douglas ",USA ,10.53
Immensee ,1943,"Harlan, Veit ",GER ,10
Immortal Beloved ,1994,"Rose, Bernard ",,6.2
"Immortal Story, The ",1968,"Welles, Orson ",FRA ,6.5
Immortals ,2011,"Singh, Tarsem ",USA ,3.06
Impact ,1949,"Lubin, Arthur ",USA ,13
Impact ,1963,"Maxwell, Peter ",BRI ,8.9
"Impersonator, The ",1962,"Shaughnessy, Alfred ",BRI ,9.7
Import Export ,2007,"Seidl, Ulrich ",OST ,26.5
"Importance of Being Earnest, The ",1952,"Asquith, Anthony ",BRI ,12.5
"Importance of Being Earnest, The ",2002,"Parker, Oliver ",,4.2
Impostor ,2001,"Fleder, Gary ",USA ,2.6
Impromptu ,1991,"Lapine, James ",,7
Impulse ,1990,"Locke, Sondra ",USA ,5.7
In a Lonely Place ,1950,"Ray, Nicholas ",USA ,9.16
In America ,2003,"Sheridan, Jim ",USA ,6.01
In and Out ,1997,"Oz, Frank ",USA ,4.7
In Bruges ,2008,"McDonagh, Martin ",BRI ,4.84
In Cold Blood ,1967,"Brooks, Richard ",USA ,9.6
In Custody ,1993,"Merchant, Ismail ",,8.59
In Dark Places ,1997,"Burke, James ",USA ,6.2
In Darkness ,2011,"Holland, Agnieszka ",,6.36
In Dreams ,1998,"Jordan, Neil ",USA ,6.6
In Enemy Country ,1968,"Keller, Harry ",USA ,6.89
In Fear ,2012,"Lovering, Jeremy ",BRI ,3.61
In Good Company ,2004,"Weitz, Paul ",USA ,4.43
In Harm's Way ,1965,"Preminger, Otto ",USA ,12.7
In Hell ,2003,"Lam, Ringo ",USA ,2.7
In Her Defense ,1998,"Furie, Sidney J. ",CAN ,4.66
In Her Shoes ,2005,"Hanson, Curtis ",USA ,4.97
In Love and War ,1958,"Dunne, Philip ",USA ,9.2
In Love and War ,1996,"Attenborough, Richard ",USA ,9.2
In My Father's Den ,2004,"Gann, Brad M. ",NZE ,7.42
In Old California ,1942,"McGann, William ",USA ,7.9
In Old Chicago ,1938,"King, Henry ",USA ,9
In Old Montana ,1939,"Johnson, Raymond K. ",USA ,9.2
In Old Oklahoma ,1943,"Rogell, Albert S. ",USA ,7.61
In Our Name ,2010,"Welsh, Brian ",BRI ,5.56
In Search of a Midnight Kiss ,2008,"Holdridge, Alex ",USA ,4.62
In Search of the Castaways ,1961,"Stevenson, Robert ",USA ,6.94
In Society ,1944,"Yarborough, Jean ",USA ,9
In the Army Now ,1994,"Petrie, Jr., Daniel ",USA ,5.1
In the Bedroom ,2001,"Field, Todd ",USA ,9.8
In the Bleak Midwinter ,1995,"Branagh, Kenneth ",BRI ,11.2
In the Company of Men ,1997,"LaBute, Neil ",USA ,17.4
In the Cut ,2003,"Campion, Jane ",,4.75
In the Doghouse ,1961,"Conyers, D'Arcy ",BRI ,5.4
In the Electric Mist ,2009,"Tavernier, Bertrand ",USA ,8.06
In the Heat of the Night ,1967,"Jewison, Norman ",USA ,8.1
In the Line of Fire ,1993,"Petersen, Wolfgang ",USA ,4.91
In the Loop ,2009,"Ianucci, Armando ",BRI ,4.16
In the Mix ,2005,"Underwood, Ron ",USA ,4.02
In the Mood ,1987,"Robinson, Phil Alden ",USA ,8.1
In the Mood For Love ,2000,Wong Kar-Wai ,CHI ,12.9
In the Mouth of Madness ,1994,"Carpenter, John ",USA ,5.5
In the Name of the Father ,1993,"Sheridan, Jim ",BRI ,3.86
In This Our Life ,1942,"Huston, John ",USA ,10
In This World ,2002,"Winterbottom, Michael ",BRI ,5.4
In Time ,2011,"Nicoll, Andrew ",USA ,3.05
In Too Deep ,1999,"Rymer, Michael ",USA ,6.6
"In weiter ferne, so nah ",1993,"Wenders, Wim ",GER ,9.3
In Which We Serve ,1942,"Coward, N. & Lean, D. ",BRI ,9.86
"Inbetweeners Movie, The ",2011,"Palmer, Ben ",BRI ,2.38
Incendiary ,2008,"Maguire, Sharon ",BRI ,4.77
Incense for the Damned ,1970,Hartford-Davis (M. Burrowes) ,BRI ,5.23
Incident at Phantom Hill ,1966,"Bellamy, Earl ",USA ,6.4
Incognito ,1997,"Badham, John ",USA ,4.5
"Incredible Hulk, The ",2008,"Leterrier, Louis ",USA ,2.94
"Incredible Journey, The ",1963,"Markle, Fletcher ",USA ,5.3
Indagine su un cittadina al di sopra di og ,1970,"Petri, Elio ",ITA ,9
Indecent Behavior 4 ,1997,"Earnshaw, Ellen ",USA ,5.3
Indecent Proposal ,1993,"Lyne, Adrian ",USA ,4.41
Independence Day ,1996,"Emmerich, Roland ",USA ,3.4
"Indian Fighter, The ",1955,"de Toth, Andre ",USA ,6.9
"Indian in the Cupboard, The ",1995,"Oz, Frank ",USA ,5.2
"Indian Runner, The ",1991,"Penn, Sean ",,5.68
Indian Uprising ,1951,"Nazarro, Ray ",USA ,6.15
Indiana Jones and the Kingdom of the Crystal Skull ,2008,"Spielberg, Steven ",USA ,4.8
Indiana Jones and the Last Crusade ,1989,"Spielberg, Steven ",USA ,4.29
Indiana Jones and the Temple of Doom ,1984,"Spielberg, Steven ",USA ,3.46
"Indische Grabmal, Das ",1959,"Lang, Fritz ",GER ,9
Indiscreet ,1958,"Donen, Stanley ",BRI ,13.3
Indiscretion of an American Wife ,1954,"De Sica, Vittorio ",,6.8
Indochine ,1991,"Wargnier, Régis ",FRA ,8.1
Infamous ,2006,"McGrath, Douglas ",USA ,7.68
Infernal Affairs ,2002,"Lau, Andrew & Mak, Alan ",HKO ,3.75
Infernal Affairs 3 ,2003,"Lau, Andy & Mak, Alan ",CHI ,5.84
Infernal Affairs II ,2003,"Lau, Andy & Mak, Alan ",CHI ,5.25
Inferno ,1980,"Argento, Dario ",ITA ,4.61
Inferno ,1999,"Avildsen, John (Danny Mul ",USA ,3.7
"Infid?les, les ",2012,Various ,FRA ,4.22
"Informers, The ",2009,"Jordan, Gregor ",,6.78
Inglourious Basterds ,2009,"Tarantino, Quentin ",,5.82
Ingmarsarvet ,1925,"Molander, Gustaf ",SWE ,6
Inherit the Wind ,1960,"Kramer, Stanley ",USA ,14.9
Initiation ,1987,"Pearce, Michael ",AUS ,5.6
Inkheart ,2007,"Softley, Iain ",,2.63
"In-Laws, The ",2003,"Fleming, Andrew ",USA ,3.15
Inn For Trouble ,1960,"Pennington Richards, C. ",BRI ,7.8
"Inn of the Sixth Happiness, The ",1958,"Robson, Mark ",,6.71
"Innkeepers, The ",2011,"West, Ti ",USA ,9.06
Innocence ,2004,"Hadzilhalovic, Lucile ",,10.3
"Innocent Man, An ",1989,"Yates, Peter ",USA ,4.71
Innocent Moves ,1993,"Zaillian, Steven ",USA ,5.1
"Innocent Sleep, The ",1995,"Michell, Scott ",BRI ,7.2
Innocents in Paris ,1953,"Parry, Gordon ",BRI ,7
"Innocents, The ",1961,"Clayton, Jack ",BRI ,9.3
"Inondation, l' ",1924,"Delluc, Louis ",FRA ,7.1
Inseminoid ,1981,"Warren, Norman. J. ",BRI ,5.7
Inserts ,1976,"Byrum, John ",BRI ,9.7
Inside Daisy Clover ,1965,"Mulligan, Robert ",USA ,9.4
Inside I'm Dancing ,2004,"O'Donnell, Damien ",,6.01
Inside Man ,2006,"Lee, Spike ",USA ,4.94
Inside Out ,1975,"Duffell, Peter ",BRI ,7.9
Inside Out ,1998,"Sundström, Neal ",SAF ,4.5
"Insider, The ",1999,"Mann, Michael ",USA ,5.4
Insidious ,2010,"Wan, James ",CAN ,3.99
Insignificance ,1985,"Roeg, Nicolas ",BRI ,5.6
Insomnia ,1997,"Skjoldbjaerg, Erik ",NOR ,5.6
Insomnia ,2002,"Nolan, Christopher ",USA ,2.5
"Inspector Calls, An ",1954,"Hamilton, Guy ",BRI ,8.8
Inspector Gadget ,1999,"Kellog, David ",USA ,2.3
Instinct ,1999,"Turtletaub, Jon ",USA ,4
"Instinct de mort, l' ",2008,"Richet, Jean-Francois ",,3.12
Institute Benjamenta ,1995,Brothers Quay ,BRI ,11.2
Intacto ,2001,"Fresnadillo, Juan Carlos ",SPA ,5.7
"Intelligence Men, The ",1965,"Asher, Robert ",BRI ,5.82
Interceptor ,1992,"Cohn, Michael ",USA ,3.2
Interlude ,1956,"Sirk, Douglas ",USA ,11
interMission ,2003,"Crowley, John ",,4.79
Internal Affairs ,1990,"Figgis, Mike ",USA ,7.51
International Velvet ,1978,"Forbes, Bryan ",USA ,4.64
"International, The ",2009,"Tykwer, Tom ",,3.24
"Interpreter, The ",2005,"Pollack, Sydney ",,2.63
"Interrupted Journey, The ",1949,"Birt, Daniel ",BRI ,10.4
Interrupted Melody ,1955,"Bernhardt, Curtis ",USA ,14.7
Intersection ,1994,"Rydell, Mark ",USA ,6.07
Interview With the Vampire ,1994,"Jordan, Neil ",USA ,6.12
Intimate Nights ,1998,"Madison, Jay ",USA ,7.7
Intimate Relations ,1995,"Goodhew, Philip ",,6.4
Into the Blue ,1951,"Wilcox, Herbert ",BRI ,22
Into the Blue ,2005,"Stockwell, John ",USA ,3.27
Into the Night ,1985,"Landis, John ",USA ,4.44
Into the Sun ,1992,"Kiersch, Fritz ",USA ,3.72
Into the Wild ,2004,"Penn, Sean ",USA ,4.09
Intolerable Cruelty ,2003,"Coen, Joel ",USA ,4.69
Intouchables ,2011,"Nakache, Olivier & Toledano, Eric ",FRA ,4.68
Intrigue ,1947,"Marin, Edwin L. ",USA ,8.9
Invaders From Mars ,1953,"Menzies, William Cameron ",USA ,6.86
Invasion ,1966,"Bridges, Alan ",BRI ,19.2
Invasion of the Body Snatchers ,1956,"Siegel, Don ",USA ,10.34
Invasion of the Body Snatchers ,1978,"Kaufman, Phillip ",USA ,5.3
"Invasion, The ",2007,"Hirschbiegl, O. & McTeigue, J. ",,2.19
"Invasions barbares, les ",2003,"Arcand, Denys ",,5.64
"Invasor, O ",2001,"Brant, Beto ",BRA ,11
Inventing the Abbotts ,1997,"O'Connor, Pat ",USA ,5.6
"Invention of Lying, The ",2009,"Gervais, Ricky & Robinson, Matthew ",USA ,3.71
Invincible ,2001,"Herzog, Werner ",,15.3
Invincible ,2006,"Core, Ericson ",USA ,2.86
Invisible Agent ,1942,"Marin, Edwin L. ",USA ,7.4
"Invisible Circus, The ",2000,"Brooks, Adam ",USA ,5.9
Invisible Invaders ,1959,"Cahn, Edward L. ",USA ,6.2
"Invisible Man Returns, The ",1940,"May, Joe ",USA ,9.2
"Invisible Man, The ",1933,"Whale, James ",USA ,6.5
Invisible Stripes ,1940,"Bacon, Lloyd ",USA ,6.9
"Invisible Woman, The ",1941,"Sutherland, A. Edward ",USA ,7.1
"Invisible, The ",2007,"Goyer, David S. ",USA ,3.01
Invitation to a Gunfighter ,1964,"Wilson, Richard ",USA ,7.33
Invitation to the Dance ,1956,"Kelly, Gene ",USA ,14.2
Io non ho paura ,2003,"Salvatores, Gabriele ",ITA ,4.87
Io sono l'amore ,2009,"Guadagino, Luca ",ITA ,6.7
Ip Man ,2008,"Yip, Wilson ",CHI ,4.02
Ip Man 2 ,2010,Yip Wai-Shun ,CHI ,2.5
IQ ,1995,"Schepisi, Fred ",USA ,4.5
Irene ,1940,"Wilcox, Herbert ",USA ,7.6
Irina Palm ,2006,"Garbarski, Sam ",,5.64
Iris ,2001,"Eyre, Richard ",BRI ,5.8
Irish Eyes are Smiling ,1944,"Ratoff, Gregory ",USA ,11.5
Iron and Silk ,1990,"Sun, Shirley ",USA ,8.2
"Iron Curtain, The ",1948,"Wellman, William A. ",USA ,10.3
Iron Eagle ,1985,"Furie, Sidney J. ",USA ,3.44
"Iron Horse, The ",1924,"Ford, John ",USA ,5.5
"Iron Ladies, The ",2000,"Thongkoothun, Yong Yooth ",THA ,6.2
"Iron Lady, The ",2011,"Lloyd, Phyllida ",,4.39
Iron Man ,2008,"Favreau, Jon ",USA ,3.66
"Iron Mask, The ",1929,"Dwan, Allan ",USA ,5.7
Iron Maze ,1991,"Yoshida, Hiroaki ",,6.5
"Iron Mistress, The ",1952,"Douglas, Gordon ",USA ,10.13
"Iron Petticoat, The ",1956,"Thomas, Ralph ",BRI ,11.74
Iron Will ,1994,"Haid, Charles ",USA ,4.46
Irreconcilable Differences ,1984,"Shyer, Charles ",USA ,7.2
Iruvar ,1997,"Ratnam, Mani ",IND ,10.5
Is Anybody There? ,2008,"Crowley, John ",BRI ,4.97
Is My Face Red? ,1932,"Seiter, William ",USA ,11
Ishtar ,1987,"May, Elaine ",USA ,6
"Island at the Top of the World, The ",1974,"Stevenson, Robert ",USA ,4.98
Island in the Sky ,1953,"Wellman, William ",USA ,8.18
Island of Desire ,1952,"Heisler, Stuart ",USA ,8
"Island of Dr. Moreau, The ",1977,"Taylor, Don ",USA ,6.43
Island of Love ,1963,"Da Costa, Morton ",USA ,8.3
"Island on Bird Street, The ",1997,"Kragh-Jacobsen, Soren ",,5.8
"Island, The ",1980,"Ritchie, Michael ",USA ,3.9
"Island, The ",2005,"Bay, Michael ",USA ,2.75
Islands in the Stream ,1976,"Schaffner, Franklin J. ",USA ,5.6
"Isle of the Dead, The ",1945,"Robson, Mark ",USA ,6.3
Isn't Life Wonderful? ,1952,"French, Harold ",BRI ,8.4
Isn't She Great? ,1999,"Bergman, Andrew ",USA ,5.1
Isolation ,2005,"O'Brien, Billy ",BRI ,3.54
"Istoriya Asi Klyachinoi, kotoraya lyubila, ",1967,"Mikhalov-Konchalovsky, A. ",RUS ,18.6
It ,1927,"Badger, Clarence ",USA ,5.76
It All Came True ,1940,"Seiler, Lewis ",USA ,8.8
It Came From Outer Space ,1953,"Arnold, Jack ",USA ,9.21
It Conquered the World ,1956,"Corman, Roger ",USA ,7.4
It Could Happen to You ,1994,"Bergman, Andrew ",USA ,5.11
It Had To Be You ,2000,"Feder, Steven ",USA ,5.06
It Happened in Rome ,1956,"Pietrangeli, Antonio ",ITA ,14
It Happened One Night ,1934,"Capra, Frank ",USA ,9
It Happens Every Spring ,1949,"Bacon, Lloyd ",USA ,6.8
It Pays to Advertise ,1931,"Tuttle, Frank ",USA ,13.5
It Runs in the Family ,2002,"Schepisi, Fred ",USA ,6.15
It! The Terror from beyond Space ,1958,"Cahn, Edward L. ",USA ,7.9
Italian for Beginners ,2000,"Scherfig, Lone ",DEN ,4.38
"Italian Job, The ",1969,"Collinson, Peter ",BRI ,6.91
"Italian Job, The ",2003,"Gray, F. Gary ",USA ,2.89
Italian Movie ,1993,"Monticello, Robert ",USA ,8.4
"Italian, The ",1915,"Barker, Reginald ",USA ,10
It's a Boy/Girl Thing ,2006,"Hurran, Nick ",,3
It's a Free World ,2007,"Loach, Ken ",BRI ,11.81
It's a Grand Life ,1953,"Blakely, John E. ",BRI ,27.9
"It's a Mad, Mad, Mad, Mad World ",1963,"Kramer, Stanley ",USA ,9.8
It's a Wonderful Afterlife ,2010,"Chadha, Gurinder ",BRI ,3.71
It's a Wonderful Life ,1946,"Capra, Frank ",USA ,9.5
It's a Wonderful World ,1939,"Van Dyke II, W.S. ",USA ,9
It's Alive ,1974,"Cohen, Larry ",USA ,6
It's All About Love ,2002,"Vinterberg, Thomas ",,6.81
It's All Gone Pete Tong ,2004,"Dowse, Michael ",,3.94
It's Always Fair Weather ,1955,"Keely, Gene & Donen, S. ",USA ,15.5
It's Complicated ,2009,"Meyers, Nancy ",USA ,3.36
It's Great to be Young ,1956,"Frankel, Cyril ",BRI ,8.6
It's In the Bag ,1936,"Beaudine, William ",BRI ,11.5
It's In The Bag ,1945,"Wallace, Richard ",USA ,8.9
It's Love Again ,1936,"Saville, Victor ",BRI ,9.5
It's Never Too Late to Mend ,1937,"MacDonald, David ",BRI ,12.3
Ivan Grozny 1 ,1944,"Eisenstein, S.M. ",RUS ,7.5
Ivan Grozny 2 ,1946,"Eisenstein, S.M. ",RUS ,7.5
Ivanhoe ,1913,"Brenon, Herbert ",USA ,11.9
Ivanhoe ,1952,"Thorpe, Richard ",USA ,6.6
I've Gotta Horse ,1965,"Hume, Kenneth ",BRI ,6
Ivory Tower ,1997,"Ferriola, Dylan ",USA ,4.7
Jab We Met ,2007,"Ali, Imtiaz ",IND ,5.71
Jack ,1996,"Coppola, Francis Ford ",USA ,5
Jack and Sarah ,1995,"Sullivan, Tim ",BRI ,7.59
Jack and the Beanstalk ,1952,"Yarbrough, Jean ",USA ,7.2
Jack Frost ,1998,"Miller, Troy ",USA ,3.1
Jack Straw ,1920,"de Mille, William ",USA ,6
Jack the Giant Killer ,1962,"Juran, Nathan ",USA ,5.22
"Jackal, The ",1997,"Caton-Jones, Michael ",USA ,4.9
Jackass Number Two ,2008,"Tremaine, Jeff ",USA ,6.97
Jackass: The Movie ,2004,"Tremaine, Jeff ",USA ,6.27
"Jacket, The ",2005,"Maybury, John ",,3.13
Jackie Brown ,1997,"Tarantino, Quentin ",USA ,7.1
Jacknife ,1988,"Jones, David ",USA ,5.95
"Jackpot, The ",1950,"Lang, Walter ",USA ,20
Jackson County Jail ,1976,"Miller, Michael ",USA ,5
Jacob's Ladder ,1990,"Lyne, Adrian ",USA ,3.67
Jacqueline ,1956,"Baker, Roy ",BRI ,6.8
Jacquot de Nantes ,1991,"Varda, Agn?s ",FRA ,8.9
Jade ,1995,"Friedkin, William ",USA ,6.1
Jagged Edge ,1985,"Marquand, Richard ",USA ,6.9
J'ai tué ma mere ,2009,"Dolan, Xavier ",CAN ,9.65
Jaka Sembong ,1981,"Putra, Sisworo Gautama ",IDO ,6.7
Jakob the Liar ,1999,"Kassovitz, Peter ",USA ,5.7
Jalsaghar ,1958,"Ray, Satyajit ",IND ,14.23
Jamaica Inn ,1939,"Hitchcock, Alfred ",BRI ,7
James and the Giant Peach ,1996,"Selick, Henry ",,4.01
"James Gang, The ",1997,"Barker, Mike ",,9.2
Jane Austen's Mafia ,1998,"Abrahams, Jim ",USA ,3.5
Jane Eyre ,1943,"Stevenson, Robert ",USA ,7.75
Jane Eyre ,1996,"Zeffirelli, Franco ",,6.2
Janice Beard 45 WPM ,1999,"Kilner, Clare ",BRI ,5.3
Jar City ,2005,"Kormakur, Baltasar ",,4.84
Jason and the Argonauts ,1963,"Chaffey, Don ",USA ,3.97
Jason Goes to Hell: The Final Friday ,1993,"Marcus, Adam ",USA ,4.2
Jason X ,2001,"Isaac, Jim ",USA ,3.8
Jason's Lyric ,1994,"McHenry, Doug ",USA ,5
Jassy ,1947,"Knowles, Bernard ",BRI ,13.49
Jaws ,1975,"Spielberg, Steven ",USA ,6.52
Jaws 2 ,1978,"Szwarc, Jeannot ",USA ,4.7
Jaws III ,1983,"Alves, Joe ",USA ,5.3
Jaws of Justice ,1933,"Bennett, Spencer Gordon ",USA ,8.33
"Jaws, the Revenge ",1987,"Sergeant, Joseph ",USA ,4.45
Jay and Silent Bob Strike Back ,2001,"Smith, Kevin ",USA ,3.24
"Jayhawkers, The ",1959,"Frank, Melvin ",USA ,9
Jazz Heaven ,1930,"Brown, Melville ",USA ,11
"Jazz Singer, The ",1953,"Curtiz, Michael ",USA ,11.8
"Jazz Singer, The ",1980,"Fleischer, Richard ",USA ,7.1
JCVD ,2008,"El Mekhri, Mabrouk ",BEL ,8.77
Je suis frigide...pourqoi? ,1972,"Pécas, Max ",FRA ,12.7
Jealousy ,1934,"Neill, Roy William ",USA ,7.8
Jean de Florette ,1986,"Berri, Claude ",FRA ,11.26
Jeanne d'Arc ,1999,"Besson, Luc ",FRA ,3.5
Jeder für sich und Gott gegen alle ,1974,"Herzog, Werner ",GER ,20.5
Jeepers Creepers ,2001,"Salva, Victor ",,4.6
Jeepers Crepers 2 ,2003,"Salva, Victor ",USA ,4.16
Jefferson in Paris ,1995,"Ivory, James ",USA ,9.4
J'embrasse pas ,1991,"Téchiné, André ",FRA ,13.7
Jennifer Eight ,1992,"Robinson, Bruce ",USA ,6.18
Jennifer's Body ,2009,"Kusama, Karyn ",USA ,3.56
Jeremiah Johnson ,1972,"Pollack, Sydney ",USA ,4.19
"Jerk, The ",1979,"Reiner, Carl ",USA ,6.15
Jerry and Tom ,1998,"Rubinek, Saul ",USA ,17
Jerry Maguire ,1996,"Crowe, Cameron ",USA ,4.18
Jersey Girl ,1992,"Morris, David Burton ",USA ,6.3
Jersey Girl ,2003,"Smith, Kevin ",USA ,3.98
Jesse James ,1939,"King, Henry ",USA ,8.34
Jesus Christ Superstar ,1973,"Jewison, Norman ",USA ,8.8
Jet Attack ,1958,"Cahn, Edward L. ",USA ,5.5
Jet Pilot ,1957,"Sternberg, Josef von ",USA ,6.5
Jew Süss ,1934,"Mendes, Lothar ",BRI ,8.2
"Jewel of the Nile, The ",1985,"Teague, Lewis ",USA ,3.75
Jewel Thief ,1967,"Anand, Vijay ",IND ,7.1
Jezebel ,1938,"Wyler, William ",USA ,10.5
JFK ,1991,"Stone, Oliver ",USA ,4.26
Jigsaw ,1949,"Markle, Fletcher ",USA ,12.5
"Jigsaw Man, The ",1984,"Young, Terence ",BRI ,6.42
Jim la Houlette ,1926,"Lion, Roger ",FRA ,6
Jindabyne ,2006,"Lawrence, Ray ",AUS ,4.48
Jingcha Gushi ,1985,"Chan, Jackie ",HKO ,3.9
Jingle All the Way ,1996,"Levant, Brian ",USA ,2.6
Jinnah ,1998,"Dehlavi, Jamil ",,7.4
Jis desk men Ganga behti hai ,1960,"Karmarkar, Radhu ",IND ,6.8
Jitterbugs ,1943,"St.Clair, Mal ",USA ,6
Joan of Arc ,1948,"Fleming, Victor ",USA ,7.5
Joe Dancer: The Big Black Pill ,1981,"Badiyi, Reza ",USA ,7
Joe Kidd ,1972,"Sturges, John ",USA ,5.7
Joe Panther ,1976,"Krasny, Paul ",USA ,7.4
Joe Somebody ,2001,"Pasquin, John ",USA ,3.4
Joe versus the Volcano ,1990,"Shanley, John Patrick ",USA ,6.64
Joe's Apartment ,1996,"Payson, John ",USA ,3.4
Joey Boy ,1965,"Launder, Frank ",BRI ,7.9
Jofroi ,1934,"Pagnol, Marcel ",FRA ,17.5
Jogan ,1950,"Sharma, Kidar ",IND ,12.5
John Grisham's The Rain Maker ,1997,"Coppola, Francis Ford ",USA ,5.4
John Q ,2001,"Cassavetes, Nick ",USA ,3.6
John Tucker Must Die ,2006,"Thomas, Betty ",USA ,3.23
Johnny Angel ,1945,"Marin, Edwin L. ",USA ,7.89
Johnny Apollo ,1940,"Hathaway, Henry ",USA ,10.1
Johnny Come Lately ,1943,"Howard, William K. ",USA ,8.21
Johnny Dangerously ,1984,"Heckerling, Amy ",USA ,7.5
Johnny Dark ,1954,"Sherman, George ",USA ,8.8
Johnny English ,2003,"Howitt, Peter ",,3.45
Johnny English Reborn ,2011,"Parker, Oliver ",USA ,2.56
Johnny Guitar ,1954,"Ray, Nicholas ",USA ,6.22
Johnny méchant chien ,2008,"Sauvaire, Jean-Stéphane ",,4.83
Johnny Mnemonic ,1995,"Longo, Robert ",USA ,3.3
